Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775881222,50,,Aggregated,22.100000,0.000000,290,530,820,1200,2900,16000,21000,22000,25000,25000,25000,2005,0,290.0,1719.4451077496517,4.929204998916248,25487.797612000577,204631.7157107232
1775881223,50,,Aggregated,21.700000,0.000000,290,530,810,1100,2900,16000,21000,22000,25000,25000,25000,2040,0,290.0,1714.7484218196337,4.929204998916248,25487.797612000577,202984.8862745098
1775881224,50,,Aggregated,19.700000,0.000000,290,530,810,1100,2900,16000,21000,22000,25000,25000,25000,2056,0,290.0,1704.7944492213278,4.929204998916248,25487.797612000577,202625.55593385213
1775881225,50,,Aggregated,18.700000,0.000000,290,530,810,1100,2800,16000,21000,22000,25000,25000,25000,2068,0,290.0,1699.464776028072,4.929204998916248,25487.797612000577,204433.71905222436
1775881226,50,,Aggregated,21.400000,0.000000,290,540,810,1100,2800,16000,21000,22000,25000,25000,25000,2087,0,290.0,1691.3143380800466,4.929204998916248,25487.797612000577,204364.48730234787
1775881227,50,,Aggregated,21.000000,0.000000,300,540,810,1100,2800,15000,21000,22000,25000,25000,25000,2112,0,290.0,1677.5094188343119,4.929204998916248,25487.797612000577,203734.87073863635
1775881228,50,,Aggregated,20.600000,0.000000,290,530,800,1100,2800,16000,21000,22000,25000,25000,25000,2155,0,290.0,1682.260346388429,4.929204998916248,25487.797612000577,200315.80278422273
1775881229,50,,Aggregated,18.000000,0.000000,290,520,790,1100,2800,16000,21000,22000,25000,25000,25000,2197,0,290.0,1696.3246150865084,4.929204998916248,25487.797612000577,197679.3331816113
1775881230,50,,Aggregated,17.600000,0.000000,280,520,780,1100,2800,16000,21000,22000,25000,25000,25000,2227,0,280.0,1689.5682289690446,4.929204998916248,25487.797612000577,196172.33812303547
1775881231,50,,Aggregated,21.500000,0.000000,290,520,780,1100,2800,16000,21000,22000,25000,25000,25000,2242,0,290.0,1690.1944972181332,4.929204998916248,25487.797612000577,197622.76003568244
1775881232,50,,Aggregated,25.000000,0.000000,280,520,770,1100,2800,16000,21000,22000,25000,25000,25000,2272,0,280.0,1685.4635885686853,4.929204998916248,25487.797612000577,196146.18397887325
1775881233,50,,Aggregated,25.300000,0.000000,290,520,770,1100,2800,16000,21000,22000,25000,25000,25000,2297,0,290.0,1697.291183726186,4.929204998916248,25487.797612000577,197257.47540269917
1775881234,50,,Aggregated,24.500000,0.000000,290,520,760,1100,2800,16000,21000,22000,25000,25000,25000,2314,0,290.0,1687.5981915389114,4.929204998916248,25487.797612000577,196898.30682800346
1775881235,50,,Aggregated,27.000000,0.000000,280,520,760,1100,2800,16000,21000,22000,25000,25000,25000,2355,0,280.0,1672.8219331889775,4.929204998916248,25487.797612000577,194582.20721868364
1775881236,50,,Aggregated,25.400000,0.000000,280,520,760,1100,2800,16000,21000,22000,25000,25000,25000,2381,0,280.0,1682.7331127568482,4.929204998916248,25487.797612000577,195078.04031919362
1775881237,50,,Aggregated,25.900000,0.000000,280,510,760,1100,2800,16000,21000,22000,25000,25000,25000,2409,0,280.0,1698.5152048962443,4.929204998916248,25487.797612000577,193368.2482357825
1775881238,50,,Aggregated,28.400000,0.000000,280,520,760,1100,2800,16000,21000,22000,25000,25000,25000,2417,0,280.0,1695.618674047604,4.929204998916248,25487.797612000577,194773.81381878362
1775881239,50,,Aggregated,29.800000,0.000000,280,520,760,1100,2800,16000,21000,22000,25000,25000,25000,2445,0,280.0,1692.166997694093,4.929204998916248,25487.797612000577,194093.47975460123
1775881240,50,,Aggregated,29.100000,0.000000,270,510,760,1100,2800,16000,20000,22000,25000,25000,25000,2501,0,270.0,1684.7031250412,4.929204998916248,25487.797612000577,190327.2586965214
1775881241,50,,Aggregated,26.000000,0.000000,270,500,750,1100,2800,16000,20000,22000,25000,25000,25000,2528,0,270.0,1674.734702814102,4.929204998916248,25487.797612000577,189307.7013449367
1775881242,50,,Aggregated,24.600000,0.000000,270,510,750,1100,2800,16000,20000,22000,25000,25000,25000,2533,0,270.0,1672.9089148053904,4.929204998916248,25487.797612000577,189915.6873272799
1775881243,50,,Aggregated,27.400000,0.000000,280,510,760,1100,2800,16000,20000,22000,25000,25000,25000,2548,0,280.0,1669.7725098842416,4.929204998916248,25487.797612000577,191233.52825745684
1775881244,50,,Aggregated,28.600000,0.000000,280,520,760,1100,2800,16000,20000,22000,25000,25000,25000,2563,0,280.0,1664.320941360926,4.929204998916248,25487.797612000577,191582.1779165041
1775881245,50,,Aggregated,25.800000,0.000000,280,520,760,1100,2800,16000,20000,22000,25000,25000,25000,2577,0,280.0,1658.6249545626888,4.929204998916248,25487.797612000577,192475.67326348467
1775881246,50,,Aggregated,25.100000,0.000000,280,520,760,1100,2700,15000,20000,22000,25000,25000,25000,2585,0,280.0,1656.3156884000196,4.929204998916248,25487.797612000577,193801.3245647969
1775881247,50,,Aggregated,24.600000,0.000000,280,520,760,1100,2700,15000,20000,22000,25000,25000,25000,2612,0,280.0,1651.7351572519372,4.929204998916248,25487.797612000577,191838.7201378254
1775881248,50,,Aggregated,22.200000,0.000000,280,510,760,1000,2700,15000,20000,22000,25000,25000,25000,2653,0,280.0,1632.9362655620278,4.929204998916248,25487.797612000577,189400.41311722578
1775881249,50,,Aggregated,20.100000,0.000000,280,510,760,1000,2700,15000,20000,22000,25000,25000,25000,2668,0,280.0,1630.9505558819562,4.929204998916248,25487.797612000577,189745.07008995503
1775881250,50,,Aggregated,20.600000,0.000000,280,510,750,1000,2700,15000,20000,22000,25000,25000,25000,2699,0,280.0,1633.7204537388122,4.929204998916248,25487.797612000577,188524.1285661356
1775881253,50,,Aggregated,19.600000,0.000000,280,510,750,1000,2700,15000,20000,22000,25000,25000,25000,2721,0,280.0,1648.170858660809,4.929204998916248,25487.797612000577,188848.35501653803
1775881254,50,,Aggregated,18.900000,0.000000,280,500,750,1000,2800,16000,21000,22000,25000,25000,25000,2745,0,280.0,1675.8298947053052,4.929204998916248,25487.797612000577,188580.29034608378
1775881255,50,,Aggregated,18.400000,0.000000,280,500,750,1000,2800,16000,21000,22000,25000,25000,25000,2772,0,280.0,1684.0647154091134,4.929204998916248,25487.797612000577,186778.77561327562
1775881256,50,,Aggregated,18.900000,0.000000,280,510,750,1000,2800,16000,21000,22000,25000,25000,25000,2788,0,280.0,1678.9726340147274,4.929204998916248,25487.797612000577,188834.1280487805
1775881257,50,,Aggregated,20.500000,0.000000,280,510,750,1000,2700,16000,21000,22000,25000,25000,25000,2811,0,280.0,1684.308334271455,4.929204998916248,25487.797612000577,188643.4752757026
1775881258,50,,Aggregated,20.300000,0.000000,280,510,740,1000,2700,16000,21000,22000,25000,25000,25000,2833,0,280.0,1682.1375343650056,4.929204998916248,25487.797612000577,188078.632897988
1775881259,50,,Aggregated,22.000000,0.000000,280,510,740,1000,2700,16000,21000,22000,25000,25000,25000,2859,0,280.0,1678.5121013116648,4.3941449985140935,25487.797612000577,188563.1748863239
1775881260,50,,Aggregated,20.600000,0.000000,280,510,740,1000,2700,16000,21000,22000,25000,25000,25000,2874,0,280.0,1680.6088200358556,4.3941449985140935,25487.797612000577,188457.02957550454
1775881261,50,,Aggregated,18.700000,0.000000,280,510,750,1000,2700,16000,21000,22000,25000,25000,25000,2885,0,280.0,1680.5056085563463,4.3941449985140935,25487.797612000577,190325.8890814558
1775881262,50,,Aggregated,20.100000,0.000000,280,510,750,1000,2700,16000,21000,22000,25000,25000,25000,2927,0,280.0,1687.0081162012552,4.3941449985140935,25487.797612000577,188496.0440724291
1775881263,50,,Aggregated,17.900000,0.000000,280,510,750,1000,2700,16000,21000,22000,25000,25000,25000,2931,0,280.0,1685.4171156414452,4.3941449985140935,25487.797612000577,189090.2374616172
1775881264,50,,Aggregated,18.800000,0.000000,280,510,750,1000,2700,16000,21000,22000,25000,25000,25000,2960,0,280.0,1681.595835532456,4.3941449985140935,25487.797612000577,188944.71587837837
1775881265,50,,Aggregated,21.300000,0.000000,280,510,750,1000,2700,16000,21000,22000,25000,25000,25000,2993,0,280.0,1667.4608109051378,4.3941449985140935,25487.797612000577,187734.68493150684
1775881266,50,,Aggregated,20.500000,0.000000,280,500,740,1000,2700,16000,21000,22000,25000,25000,25000,3026,0,270.0,1668.7206827085538,4.3941449985140935,25487.797612000577,186546.74322538005
1775881267,50,,Aggregated,19.800000,0.000000,280,510,740,1000,2700,16000,21000,22000,25000,25000,25000,3038,0,280.0,1663.8318068061512,4.3941449985140935,25487.797612000577,187454.3327847268
